"steps","y","se","alg.name"
1,11.0962843151089,3.39726815237793,"MGF"
2,11.0523897720871,3.38225000372574,"MGF"
3,10.8415444943221,3.44564273111914,"MGF"
4,10.5187637411769,3.4461733049806,"MGF"
5,10.2703236674508,3.54162249675186,"MGF"
6,10.1452282427002,3.46810376931745,"MGF"
7,10.0534051013648,3.414610139188,"MGF"
8,9.9126722181615,3.33748930416761,"MGF"
9,9.84780629514635,3.27139536057438,"MGF"
10,9.82461168185788,3.24115314944569,"MGF"
11,9.82461168185788,3.24115314944569,"MGF"
12,9.72655383376572,3.26026472439769,"MGF"
13,9.71612954839433,3.26340034724561,"MGF"
14,9.43834777131641,3.27858238209127,"MGF"
15,9.29729612428715,3.33835750802664,"MGF"
16,9.18711148752387,3.23998333352863,"MGF"
17,9.14161900896017,3.23722249556982,"MGF"
18,9.02301738456141,3.24880823209105,"MGF"
19,8.99365964535566,3.2334953359102,"MGF"
20,8.74911213474487,3.2076507036976,"MGF"
21,8.6840279603537,3.17860963270043,"MGF"
